ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,       S-Mises,S-Max. In-Plane Principal (Abs),S-Max. Principal (Abs)
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",             1,       90.2383,       121.925,            0.,NA,NA,"",   1.94205E+06,   2.00131E+06,   2.00131E+06
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",             2,       82.1645,       116.059,            0.,NA,NA,"",   817.007E+03,   803.116E+03,   803.116E+03
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",             3,       77.1746,       107.416,            0.,NA,NA,"",   466.477E+03,  -428.286E+03,  -428.286E+03
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",             4,       76.1315,       97.4913,            0.,NA,NA,"",   561.644E+03,  -561.441E+03,  -561.441E+03
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",             5,       79.2154,           88.,            0.,NA,NA,"",   525.233E+03,   117.626E+03,   117.626E+03
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",             6,       85.8932,       80.5836,            0.,NA,NA,"",   1.40205E+06,   1.43943E+06,   1.43943E+06
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",             7,       95.0101,       76.5245,            0.,NA,NA,"",   2.30507E+06,   2.39688E+06,   2.39688E+06
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",             8,       104.990,       76.5245,            0.,NA,NA,"",   2.48739E+06,   2.56430E+06,   2.56430E+06
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",             9,       114.107,       80.5836,            0.,NA,NA,"",   1.55279E+06,   1.58112E+06,   1.58112E+06
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",            10,       120.785,           88.,            0.,NA,NA,"",   605.975E+03,   120.411E+03,   120.411E+03
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",            11,       123.869,       97.4913,            0.,NA,NA,"",   689.755E+03,  -688.752E+03,  -688.752E+03
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",            12,       122.825,       107.416,            0.,NA,NA,"",   563.688E+03,  -513.971E+03,  -513.971E+03
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",            13,       117.835,       116.059,            0.,NA,NA,"",   925.368E+03,   905.548E+03,   905.548E+03
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",            14,       109.762,       121.925,            0.,NA,NA,"",   2.09218E+06,   2.16670E+06,   2.16670E+06
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",            15,          100.,          124.,            0.,NA,NA,"",   2.63103E+06,   2.71898E+06,   2.71898E+06
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",            16,          190.,            0.,            0.,NA,NA,"",   998.940E+03,   999.009E+03,   999.009E+03
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",            17,          180.,            0.,            0.,NA,NA,"",   999.150E+03,   999.186E+03,   999.186E+03
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",            18,          170.,            0.,            0.,NA,NA,"",   1.00011E+06,   999.909E+03,   999.909E+03
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",            19,          160.,            0.,            0.,NA,NA,"",   996.373E+03,   996.062E+03,   996.062E+03
C:/temp/Job-40.odb,Step-1,Increment      1: Step Time =    1.000,"P-40-1",            20,          150.,            0.,            0.,NA,NA,"",   982.773E+03,   982.410E+03,   982.410E+03
